Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CHIDIV901,0,667,1021.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV001,0,238,834.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV001,1,238,630.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV001,2,238,630.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV001,3,228,630.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV001,4,228,613.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV001,5,399,613.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV001,6,399,835.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV002,0,55,394.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV002,1,227,394.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV002,2,228,630.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV002,3,54,630.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV003,0,227,394.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV003,1,401,394.0,Chicago - 1720 Division,2,,,,,,,,
CHIDIV003,2,401,521.0,Chicago - 1720 Division,2,,,,,,,,
