Identifier,Path_ID,X,Y,Location,Floor,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
WPBLAK700,0,1420,1605.0,West Palm Beach,700,,,,,,,,
WPBLAK700,1,1625,1606.0,West Palm Beach,700,,,,,,,,
WPBLAK700,2,1626,1814.0,West Palm Beach,700,,,,,,,,
WPBLAK700,3,1604,1814.0,West Palm Beach,700,,,,,,,,
WPBLAK700,4,1601,1842.0,West Palm Beach,700,,,,,,,,
WPBLAK700,5,1422,1842.0,West Palm Beach,700,,,,,,,,
WPBLAK701,0,1487,1304.0,West Palm Beach,701,,,,,,,,
WPBLAK701,1,1625,1305.0,West Palm Beach,701,,,,,,,,
WPBLAK701,2,1627,1373.0,West Palm Beach,701,,,,,,,,
WPBLAK701,3,1601,1373.0,West Palm Beach,701,,,,,,,,
WPBLAK701,4,1601,1411.0,West Palm Beach,701,,,,,,,,
WPBLAK701,5,1484,1410.0,West Palm Beach,701,,,,,,,,
WPBLAK702,0,1487,1304.0,West Palm Beach,702,,,,,,,,
WPBLAK702,1,1625,1305.0,West Palm Beach,702,,,,,,,,
WPBLAK702,2,1627,1155.0,West Palm Beach,702,,,,,,,,
WPBLAK702,3,1485,1154.0,West Palm Beach,702,,,,,,,,
WPBLAK703,0,1485,1154.0,West Palm Beach,703,,,,,,,,
WPBLAK703,1,1627,1155.0,West Palm Beach,703,,,,,,,,
WPBLAK703,2,1627,964.0,West Palm Beach,703,,,,,,,,
WPBLAK703,3,1601,964.0,West Palm Beach,703,,,,,,,,
WPBLAK703,4,1601,936.0,West Palm Beach,703,,,,,,,,
WPBLAK703,5,1422,936.0,West Palm Beach,703,,,,,,,,
WPBLAK703,6,1422,1143.0,West Palm Beach,703,,,,,,,,
WPBLAK703,7,1485,1141.0,West Palm Beach,703,,,,,,,,
WPBLAK704,0,1422,1143.0,West Palm Beach,704,,,,,,,,
WPBLAK704,1,1423,966.0,West Palm Beach,704,,,,,,,,
WPBLAK704,2,1373,968.0,West Palm Beach,704,,,,,,,,
WPBLAK704,3,1373,936.0,West Palm Beach,704,,,,,,,,
WPBLAK704,4,1312,936.0,West Palm Beach,704,,,,,,,,
WPBLAK704,5,1312,1142.0,West Palm Beach,704,,,,,,,,
WPBLAK705,0,1327,1199.0,West Palm Beach,705,,,,,,,,
WPBLAK705,1,1423,1199.0,West Palm Beach,705,,,,,,,,
WPBLAK705,2,1424,1283.0,West Palm Beach,705,,,,,,,,
WPBLAK705,3,1327,1284.0,West Palm Beach,705,,,,,,,,
WPBLAK706,0,1327,1284.0,West Palm Beach,706,,,,,,,,
WPBLAK706,1,1225,1284.0,West Palm Beach,706,,,,,,,,
WPBLAK706,2,1226,1200.0,West Palm Beach,706,,,,,,,,
WPBLAK706,3,1327,1199.0,West Palm Beach,706,,,,,,,,
